ADSID,IBRA_REGION,LONGITUDE,LATITUDE,SITE,SITE_TYPE,LAB_CODE,AGE,ERROR,C13_AGE,C13_ERROR,MATERIAL,MATERIAL_TOP_LEVEL,CONTEXT,DEPTH_FROM_SURFACE_CM,METHOD,TECHNIQUE,Data pertinent for time-series analysis or calibration,Open or Closed Site,Directly Related to occupation? Yes/Unknown,SOURCE,NOTES,RECORD_SOURCE,DATE_ISSUES,AGE_NORM,ADDITIONAL_DATA_ISSUES,
10080,Murray Darling Depression,141.73,-34.13,Wallpolla Island - GFS,Burial,Beta-58970,8850,100,,,Freshwater mussel (Velesunio ambiguus sp.),Freshwater Shell,,,Radiocarbon,,Terrestrial,Open,Y,"Luebbers unpub. cit. Godfrey et al., 1996",A sample referred to as part of a wider review of Victorian radiocarbon dates. This sample is from a burial on Wallpolla island associated with 'skeleton 5'. The sample comes from a fish hook associated with the burial.,c14,,8850,Information within this entry has been inferred by authors - see Notes,
10081,Murray Darling Depression,141.68,-34.11,Wamba Yadu,Burial,ANU-8648,5690,280,,,Bone (apatite fraction),Bone,Burial 20,,Radiocarbon,,Terrestrial,Open,Y,"Pardoe 1995 cit. Godfrey et al., 1996",A sample referred to as part of a wider review of Victorian radiocarbon dates. This sample is from an exposed burial on the Murray River. No further contextual information.,c14,,5690,,
10082,Murray Darling Depression,141.7,-34.1,Wamba Yadu Murray River,Burial,ANU 8648,5690,280,,,Human bone apatite,Bone,,,Radiocarbon,,Terrestrial,Open,Y,Pardoe 1995,,c14,,5690,Information within this entry has been inferred by authors - see Notes,
10083,Murray Darling Depression,,,Willandra Lakes,Burial,ANUA-35,117,5% Modern,,,Human bone collagen amino acids,Bone,Skeleton WLH-15,,Radiocarbon,,Unusuable,Open,N,Gillespie 2002,see Webb 89 for locations,c14,"Date not associated with human activity, or is problematic for time-series analysis - see Notes",117,,
10084,Murray Darling Depression,145.5,-33.2,Willandra Lakes,Burial,ANUA-36,4000,1000,,,Human bone collagen amino acids,Bone,Skeleton WLH-55,,Radiocarbon,,Terrestrial,Open,Y,Gillespie 2002,see Webb 89 for locations,c14,,4000,Information within this entry has been inferred by authors - see Notes,
10085,Murray Darling Depression,145.5,-33.2,Willandra Lakes,Burial,BKY 88034,6200,200,,,Human bone,Bone,Skeleton WLH-55 U-series date,,Radiocarbon,,Terrestrial,Open,Y,Gillespie 2002,see Webb 89 for locations,c14,,6200,Information within this entry has been inferred by authors - see Notes,
10086,Murray Darling Depression,145.5,-33.2,Willandra Lakes,Burial,ANUA-34,9000,1000,,,Humics from ANUA-33,Other,Skeleton WLH-28,,Radiocarbon,,Terrestrial,Open,Y,Gillespie 2002,see Webb 89 for locations,c14,,9000,Information within this entry has been inferred by authors - see Notes,
10087,Murray Darling Depression,145.5,-33.2,Willandra Lakes,Burial,ANUA-33,12000,1000,,,Human bone insolubles,Bone,Skeleton WLH-28,,Radiocarbon,,Terrestrial,Open,Y,Gillespie 2002,see Webb 89 for locations,c14,,12000,Information within this entry has been inferred by authors - see Notes,
10088,Murray Darling Depression,145.5,-33.2,Willandra Lakes,Burial,BKY 88032,20300,1800,,,Human bone,Bone,Skeleton WLH-18 U-series date,,Radiocarbon,,Terrestrial,Open,U,Gillespie 2002,see Webb 89 for locations,c14,,20300,,
10089,Murray Darling Depression,145.5,-33.2,Willandra Lakes,Burial,BKY 88034A,28400,9200,,,Human bone,Bone,Skeleton WLH-55 U-series date,,Radiocarbon,,Terrestrial,Open,Y,Gillespie 2002,see Webb 89 for locations,c14,,28400,Information within this entry has been inferred by authors - see Notes,
10090,Murray Darling Depression,145.5,-33.2,Willandra Lakes,Burial,OZB-615,33200,950,,,Otolith,Bone,Mungo,,Radiocarbon,,Terrestrial,Open,Y,Kalish et al 1997,,c14,,33200,Information within this entry has been inferred by authors - see Notes,
10091,NSW South Western Slopes,148.79,-33.67,Cliefden Cave 1,Burial,ANU-4763b,6250,430,,,Human bone collagen,Bone,,,Radiocarbon,,Terrestrial,Closed,Y,"Pardoe & Webb, 1986","A human skeleton recovered from a small cave on the south bank of Belabula River, 20 km northeast of Cowra. The skeleton was incomplete and retained bones from the legs and veterbrate mainly. The skeleton was male and about 35-40 years of age. He stood 177-178 cm in height. Theere was no evidence of burial practises and it was considered that the individual died by falling into the cave (which was small and restrictive).",c14,,6250,Information within this entry has been inferred by authors - see Notes,
10092,NSW South Western Slopes,148.79,-33.67,Cliefden Cave 1,Burial,ANU-4763a,7520,220,,,Human bone apatite,Bone,,,Radiocarbon,,Terrestrial,Closed,Y,"Pardoe & Webb, 1986","A human skeleton recovered from a small cave on the south bank of Belabula River, 20 km northeast of Cowra. The skeleton was incomplete and retained bones from the legs and veterbrate mainly. The skeleton was male and about 35-40 years of age. He stood 177-178 cm in height. Theere was no evidence of burial practises and it was considered that the individual died by falling into the cave (which was small and restrictive).",c14,,7520,Information within this entry has been inferred by authors - see Notes,
10093,NSW South Western Slopes,141.69,-33.82,"Taronga Drive, Cowra",Burial,ANU-6611A,Modern (103.3 +/- 1.8 %),,,,Human bone apatite,Bone,,,Radiocarbon,,Unusuable,Open,Y,"Pardoe, 1993",Part of a wider study reviewing ages of skeletal remains along the Murray-Darling River.,c14,"Date not associated with human activity, or is problematic for time-series analysis - see Notes",,,
10094,NSW South Western Slopes,141.69,-33.82,"Taronga Drive, Cowra",Burial,ANU-6611B,Modern (99.8 +/- 0.8%),,,,Human bone collagen,Bone,,,Radiocarbon,,Unusuable,Open,Y,"Pardoe, 1993",Part of a wider study reviewing ages of skeletal remains along the Murray-Darling River.,c14,"Date not associated with human activity, or is problematic for time-series analysis - see Notes",,,
10095,Riverina,144.13,-35.63,Barham E4/1,Burial,Not given,4670,110,,,Bone,Bone,,,Radiocarbon,,Terrestrial,Open,Y,"Pardoe, 1993, 1995",Part of a wider study reviewing ages of skeletal remains along the Murray-Darling River.,c14,,4670,Information within this entry has been inferred by authors - see Notes,
10096,Riverina,144.13,-35.63,Barham K2/1,Burial,Not given,5400,90,,,Bone,Bone,,,Radiocarbon,,Terrestrial,Open,Y,"Pardoe, 1993, 1995",Part of a wider study reviewing ages of skeletal remains along the Murray-Darling River.,c14,,5400,Information within this entry has been inferred by authors - see Notes,
10097,Riverina,143.56,-35.34,"Glenesk, Swanhill",Burial,ANU-5310,4800,140,,,Calcium carbonate,Other,,,Radiocarbon,,Terrestrial,Open,Y,"Pardoe, 1993",Part of a wider study reviewing ages of skeletal remains along the Murray-Darling River.,c14,,4800,Information within this entry has been inferred by authors - see Notes,
10098,Riverina,144.3,-35.96,Kow Swamp,Burial,ANU-869,10930,125,,,Freshwater shell,Freshwater Shell,,,Radiocarbon,,Terrestrial,Open,Y,"Thorne, 1975 cit. Godfrey et al., 1996",A series of samples noted in a wider study of Victorian radiocarbon dates. This sample is referred to as a shell sample coming from burial 14.,c14,,10930,,
10099,Riverina,144.3,-35.96,Kow Swamp,Burial,ANU-1235,11350,160,,,Freshwater shell,Freshwater Shell,,,Radiocarbon,,Terrestrial,Open,Y,"Thorne, 1975 cit. Godfrey et al., 1996",A series of samples noted in a wider study of Victorian radiocarbon dates. This sample is referred to as a shell sample coming from burial 17.,c14,,11350,,
10100,Riverina,144.3,-35.96,Kow Swamp,Burial,ANU-1236,13000,280,,,Freshwater shell,Freshwater Shell,,,Radiocarbon,,Terrestrial,Open,Y,"Thorne, 1975 cit. Godfrey et al., 1996",A series of samples noted in a wider study of Victorian radiocarbon dates. This sample is referred to as a shell sample coming from burial 5.,c14,,13000,,
10101,Riverina,144.3,-35.96,Kow Swamp 1,Burial,ANU-403b,10070,250,,,Human bone apatite,Bone,,,Radiocarbon,,Terrestrial,Open,Y,"Thorne & Macumber, 1972; Pardoe, 1993","Initially excavated in the 1960's and then a focus of research in the 1970's, Kow Swamp retained some forty burials. Kow Swamp is situated on Taylor's creek and is surrounded by a large lunette. The lunetter is composed of Cohuna silts overlain by Kow sands - both retain burials. The burials can be divded into two broad groups, those that occur on the former Kow Swamp shorelines (the lunette) - KS 1-17, and those that occur on the surrounding levee banks of Mead Stream immediately north of the swamp. This sample comes from KS1.",c14,,10070,,
10102,Riverina,144.3,-35.96,Kow Swamp 14,Burial,ANU-1038,8700,220,,,Human bone apatite,Bone,,,Radiocarbon,,Terrestrial,Open,Y,"Pardoe, 1993",Part of a wider study reviewing ages of skeletal remains along the Murray-Darling River.,c14,,8700,,
10103,Riverina,144.3,-35.96,Kow Swamp 9,Burial,ANU-619b,9300,220,,,Human bone apatite,Bone,,,Radiocarbon,,Terrestrial,Open,Y,"Thorne & Macumber, 1972; Pardoe, 1993","Initially excavated in the 1960's and then a focus of research in the 1970's, Kow Swamp retained some forty burials. Kow Swamp is situated on Taylor's creek and is surrounded by a large lunette. The lunetter is composed of Cohuna silts overlain by Kow sands - both retain burials. The burials can be divded into two broad groups, those that occur on the former Kow Swamp shorelines (the lunette) - KS 1-17, and those that occur on the surrounding levee banks of Mead Stream immediately north of the swamp. This sample was in association with KS 'burial 9'.",c14,,9300,,
10104,Riverina,145.12,-36,Madowla Park Burial,Burial,Beta-16515,300,90,,,Charcoal,Charcoal,,,Radiocarbon,,Terrestrial,Open,Y,Aboriginal Affairs Victoria cit. Godfrey et al. 1996,A sample referred to as part of a wider review of Victorian radiocarbon dates. This sample came from a hearth above the burial (Beta-16514) within a lunette near echuca.,c14,,300,Information within this entry has been inferred by authors - see Notes,
10105,Riverina,145.12,-36,Madowla Park Burial,Burial,Beta-16514,430,110,,,Bark,Wood/Plant Material,,,Radiocarbon,,Terrestrial,Open,Y,Aboriginal Affairs Victoria cit. Godfrey et al. 1996,A sample referred to as part of a wider review of Victorian radiocarbon dates. This sample came from a burial within a lunette near echuca.,c14,,430,Information within this entry has been inferred by authors - see Notes,
10106,Riverina,144.23,-36.21,Mitiamo,Burial,ANU-1038,5540,200,,,Organic,Other,,,Radiocarbon,,Terrestrial,Open,Y,"Pardoe, 1993","Part of a wider study reviewing ages of skeletal remains along the Murray-Darling River. Lab code referred to another date in same paper, unclear which one is correct.",c14,,5540,Information within this entry has been inferred by authors - see Notes,
10107,Riverina,144.23,-36.21,Mitiamo Skeleton,Burial,Gak-703,5540,200,,,Bone (organics),Bone,,,Radiocarbon,,Terrestrial,Open,Y,"Gill 1967 cit. Godfrey et al., 1996",A sample referred to as part of a wider review of Victorian radiocarbon dates. This sample comes from a skeleton found in a sand quarry near Mologa Forest. The skeleton had evidence of Paget disease.,c14,,5540,Information within this entry has been inferred by authors - see Notes,
10108,Riverina,143.93,-34.45,Nacurrie,Burial,Not given,11440,160,,,Bone,Bone,,,Radiocarbon,,Terrestrial,Open,Y,"Brown, 1994 cit. Pardoe, 1995",A paper discussing the appearance of cemeteries and burial complexes along the Murray River. This date is listed as a male buria. This burial was considered to date one of the older burial clusters discussed.,c14,,11440,Information within this entry has been inferred by authors - see Notes,
10109,Riverina,143,-35,Narcurrie,Burial,Not given,11440,160,,,Human bone,Bone,,,Radiocarbon,,Terrestrial,Open,Y,"Pardoe, 1993",Part of a wider study reviewing ages of skeletal remains along the Murray-Darling River.,c14,,11440,Information within this entry has been inferred by authors - see Notes,
10110,Riverina,142.78,-34.58,Pumping Station Burial,Burial,SUA-2021,3300,340,,,Charcoal,Charcoal,,,Radiocarbon,,Terrestrial,Open,Y,"Bowdler et al 1983 cit Godfrey et al., 1996",A sample referred to as part of a wider review of Victorian radiocarbon dates. This sample is from a burial near Robinvale. No further contextual information is provided.,c14,,3300,Information within this entry has been inferred by authors - see Notes,
10111,Simpson Strzelecki Dunefields,140.3,-27.45,Gidgealpa WH (Coopers Creek) Grave A42196,Burial,Gak-678,250,90,,,Vegetable matter lining grave,Wood/Plant Material,Identified as  Atalaya hemiglauca,,Radiocarbon,,Terrestrial,Open,Y,Pretty 1968,,c14,,250,,
10112,Simpson Strzelecki Dunefields,140.3,-27.45,Gidgealpa WH (Coopers Creek) Grave A42197,Burial,Gak-679,320,90,,,Charcoal from grave fill,Charcoal,,,Radiocarbon,,Terrestrial,Open,Y,Pretty 1968,,c14,,320,,
10113,South East Coastal Plain,142.36,-38.35,Gormans Road 1,Burial,NZA-3964,3538,68,,,Bone (gelatin),Bone,Layer 2,5-10,Radiocarbon,,Terrestrial,Open,Y,Aboriginal Affairs Victoria cit. Godfrey et al. 1996,A sample referred to as part of a large-scale compilation of radiocarbon dates in Victoria. This sample was taken from a human rib bone.,c14,,3538,Information within this entry has been inferred by authors - see Notes,
10114,South East Coastal Plain,146.04,-38.59,Ichmo Cave,Burial,ARL-163,Modern (102.6+/-1.0%),,,,Charcoal,Charcoal,,,Radiocarbon,,Unusuable,Open,U,Aboriginal Affairs Victoria cit. Godfrey et al. 1996,A sample referred to as part of a large-scale compilation of radiocarbon dates in Victoria. This sample was taken from a burial.,c14,"Date not associated with human activity, or is problematic for time-series analysis - see Notes",,Information within this entry has been inferred by authors - see Notes,
10115,South East Corner,150.2,-35.83,Barlings Beach,Burial,ANU-7501A,770,90,,,Human bone apatite,Bone,,,Radiocarbon,,Terrestrial,Open,Y,"Pardoe, 1993",Part of a wider study reviewing ages of skeletal remains along the Murray-Darling River.,c14,,770,,
10116,South East Corner,150.2,-35.83,Barlings Beach,Burial,ANU-7501B,910,70,,,Bone,Bone,,,Radiocarbon,,Terrestrial,Open,Y,"Pardoe, 1991 cit. Brown, 2005",Human remains recovered from a shell midden on Barlings Beach following construction disturbance. Identified as an adult female in her 30's.,c14,,910,,
10117,South East Corner,150.22,-35.72,Clyde River,Burial,ANU-8228B,530,60,,,Charcoal,Charcoal,,,Radiocarbon,,Terrestrial,Open,Y,"Pardoe, n.d. cit. Boot, 2002",Aboriginal burial exposed by high seas at Batemans Bay. Remains an incomplete skeleton of a young person in a primary flexed position in a pit dug into shelly marine beach deposits. Material dates is unknown.,c14,,530,Information within this entry has been inferred by authors - see Notes,
10118,South Eastern Highlands,146.01,-36.84,Lima South Burial,Burial,SUA-2177,550,70,,,Charcoal,Charcoal,,,Radiocarbon,,Terrestrial,Closed,Y,Aboriginal Affairs Victoria cit. Godfrey et al. 1996,A sample referred to as part of a wider review of Victorian radiocarbon dates. A sample from a burial within a rockshelter. No further contextual information.,c14,,550,Information within this entry has been inferred by authors - see Notes,
10119,Southern East Queensland,153.4206,-28.0336,Broadbeach Burial Ground,Burial,V-161,50,86,,,Charcoal,Charcoal,,65-97,Radiocarbon,,Terrestrial,Open,Y,Bermingham 1971,Bermingham (1971) reports non-CRA as 50?80,c14,,50,,
10120,Southern East Queensland,153.4206,-28.0336,Broadbeach Burial Ground,Burial,ANU-67/2,440,100,,,Charcoal,Charcoal,,65-97,Radiocarbon,,Terrestrial,Open,Y,Haglund 1976,Haglund (1976:112) reports averaged date with ANU-67/3,c14,,440,,
10121,Southern East Queensland,153.4206,-28.0336,Broadbeach Burial Ground,Burial,ANU-67/3,460,100,,,Charcoal,Charcoal,,65-97,Radiocarbon,,Terrestrial,Open,Y,Haglund 1976,Haglund (1976:112) reports averaged date with ANU-67/2,c14,,460,,
